"Order ID,Order Date,Product,Category,Region,Quantity,Sales"
"CA-1001,12-03-2023,Laptop,Technology,West,2,1200"
"CA-1002,05-01-2023,Office Chair,Furniture,East,1,250"
"CA-1003,22-02-2023,Printer,Technology,South,1,600"
"CA-1004,,Table,Furniture,Central,3,900"
"CA-1005,15-04-2023,Pen,Office Supplies,West,10,50"

"CA-1002,05-01-2023,Office Chair,Furniture,East,1,250"
"CA-1006,03-12-2022,Monitor,Technology,West,2,500"
"CA-1007,18-06-2023,Notebook,Office Supplies,,5,75"
"CA-1008,01-01-2024,Desk,Furniture,Central,1,450"
"CA-1009,29-11-2022,Mouse,Technology,South,3,90"
"CA-1010,07-07-2023,Keyboard,Technology,East,,120"

"CA-1003,22-02-2023,Printer,Technology,South,1,600"
"CA-1011,10-10-2023,Bookshelf,Furniture,West,2,700"
"CA-1012,25-12-2022,Paper,Office Supplies,Central,20,100"
"CA-1013,05-05-2023,Router,Technology,East,1,180"
",,,,,,"
"CA-1014,02-02-2024,Phone,Technology,West,1,900"
"CA-1015,11-11-2023,Desk Lamp,Furniture,South,2,140"
